task_id,model,compression_target,sample_size,interval_width_90,repeat_count,median_interval_width_90,group_count,pass_rate,observed_variance
HumanEval/157,openai/gpt-5.4-nano,0.5,1,0.0,1,,,0.0,0.0
HumanEval/161,deepseek/deepseek-chat-v3.1,2.0,1,0.0,1,,,0.0,0.0
HumanEval/161,mistralai/codestral-2508,,1,0.0,1,,,0.0,0.0
HumanEval/22,z-ai/glm-4.7,0.5,1,0.0,1,,,0.0,0.0
HumanEval/25,z-ai/glm-5,0.5,1,0.0,1,,,1.0,0.0
HumanEval/26,z-ai/glm-5,2.0,1,0.0,1,,,1.0,0.0
HumanEval/31,deepseek/deepseek-chat-v3.1,0.75,1,0.0,1,,,1.0,0.0
HumanEval/35,deepseek/deepseek-v4-pro,1.5,1,0.0,1,,,1.0,0.0
HumanEval/36,qwen/qwen3-coder-next,0.25,1,0.0,1,,,0.0,0.0
HumanEval/91,mistralai/codestral-2508,0.5,1,0.0,1,,,1.0,0.0
